=== Page view data are normalized to 30 day months ===

=== Page view totals non-mobile + mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,German,755196668,778407514,817672904,854000325,1007854264,1434267602,1270923077,981701403,978324435,816911070,875354334,908943732,818710227,812759742,888953956,884514330,903770333,759783399,916028392,890617318,809344045,957331874,986952926,945766482,888170479,921611793,972644014,956340359,1041961420,942028806,1124695974,980747743,972246587,871459914,1003480736,974212324,925407180,930924972,952904172,979810515,1017247857,963287780,1106896546,1063034944,975279206,943209376,976241313,1004848001,979172723,926397382,962492935,1026430784,1134705757,1115231735,1191275053,1096419261,988711378,929109336,912633922,944364286,853385099,782313997,806851352,805834829,838803503,780101732,990375874,1015376414,950208822,895088038,875291750,841829806,850843826,836215577,881949380,818515183,801971944,762400832,848769570,825901420,823302290,792854502,752819428,730402488,German
,,,,,,,,Spanish,445589582,529752195,640332042,678356918,618951709,429593165,525897906,664767977,708812666,622529405,712546000,689177935,568949734,670114201,805384131,793041104,750257494,500123563,608651538,776934909,740804448,953794373,999782289,935867522,753646238,861507017,1006664747,1008726231,1016264516,734841206,852340802,996788226,1050959385,937204297,1046814722,951695793,829532950,1013301599,1152728152,1183600139,1154582408,837964678,961515746,1132164637,1097531879,1005290108,1157479506,1128361519,1008907139,1173640135,1273523239,1368871276,1313035606,1120921802,1248529262,1389707340,1378545587,1378074653,1414212912,1320705973,1129930177,1069364645,1040733298,1253129139,1201644580,792165742,887845299,1038161159,1048464214,984646297,1026773761,984183922,851808532,926465496,1043282630,1012838566,911825802,658966727,701340185,822538191,851735014,882249449,850607388,714126591,Spanish
,,,,,,,,Japanese,973755192,969975425,998032211,1003057504,925842966,867622536,1020040333,1015724496,965824332,935725490,1054087578,1076231552,1071919060,1056863842,1036022366,1042122587,1018879252,947765303,1083201946,1060245098,979748084,1152028494,1276258833,1242962714,1247355032,1189054331,1166733972,1153462827,1153308967,1058506203,1164246308,1163817140,1124424884,1099606562,1160003790,1130853611,1139068445,1209440598,1199318651,1179394557,1148438263,1063624623,1213616709,1206771743,1088200419,1032837942,1129339518,1188849713,1188083287,1216003674,1226948400,1206968177,1190768172,1149346815,1277460135,1182195488,1082082581,1075956682,1084503270,1090581643,1048955576,975046730,911172849,884563079,894268395,863210238,1014353982,1022743689,977275961,967978144,999440757,992747628,1010186597,1040630270,997316540,867926659,739382292,720916610,782692822,766195805,723029875,725354834,726885365,686035623,Japanese
,,,,,,,,Russian,113662290,121195082,157256924,178147619,193302177,225726994,244179932,261464142,284750415,275645537,285393526,287430317,249613491,263291318,305019697,336490934,350558815,342298682,377526978,414429038,358678986,438267171,467543830,449801416,377883747,399427872,483533546,513104029,554964992,569405072,623931881,643174065,630714293,625067144,625642440,604155015,548574092,562711091,641005514,702506996,744511802,757790683,819857427,848887673,794206079,788639213,833732641,770252873,705779301,717473405,768812285,834046939,869620645,907325353,992540024,939800641,1120095342,1143422401,1193192445,1241707777,1158768132,1022744904,735977400,772074557,776982919,832231892,949545215,943692626,912797538,892675393,887061846,857523605,748361565,944686493,1097857817,1099991206,1116229917,1046863782,1059188730,922528249,744579361,735205599,702458535,647702555,Russian
,,,,,,,,French,311381016,312562951,407994179,439236954,456433510,398506291,489329700,489587152,510839619,513244212,517848086,478907393,402046348,405401461,468445343,517691251,517541264,456708198,532464602,527713863,493544465,550218307,573315069,528255856,469345811,494276218,570598929,582556383,638212095,598043929,671092628,631079514,632066958,597528158,625399566,597632799,564810185,621466104,654834550,709028867,715296489,670004685,732441735,721151677,699100683,683811982,727857726,692800264,655200973,658498009,719727681,775676673,799637578,783316879,860040144,797429856,773132722,676843279,724603995,693677981,580276077,542999670,584657850,645838244,681466667,627084574,734306737,732586408,709733160,716532640,697541490,638998760,595794062,631012280,743243127,647733433,632695066,575549028,625772661,599259063,603834070,618882333,606105348,496733588,French
,,,,,,,,Italian,253142528,226788304,292094070,293057273,295167835,268936529,323865050,331462012,333628746,321232353,325172932,338916224,302151993,281213653,348829233,340393236,335486809,292954921,351946559,362298914,312331661,384760757,406586246,404433446,357247461,350080686,417269731,396434537,424218278,405044270,472796419,470390021,444766349,417150053,435969036,447299288,422381710,419794239,470915118,471412092,462898518,434346031,499490358,495254362,441893755,441200013,484267959,487812246,476147436,458929389,517796003,512717448,522946620,507999696,600874475,565878784,532230020,501434573,506387642,497196085,444571048,381372030,416656082,419910177,417656748,384445392,461006457,474549508,428292541,421421040,410129961,404077512,392781857,388401054,447792045,384990538,355939023,328667420,356674984,337820311,332718141,333338870,333039808,296625759,Italian
,,,,,,,,Commons,147198722,166728211,172745424,167751531,155181903,171606409,203440658,215841091,228669608,206210403,216904520,211603143,194753631,187288078,198318542,269267629,253990187,221185599,242518817,234238776,203288687,203952165,201213335,174934060,172118495,173515273,184470049,192223224,192235579,189503109,198748676,228902671,185372852,170391437,175539199,214802296,225011966,236364195,245113122,257511245,242692726,251262938,274431220,262299702,300097005,320552891,331386795,321027639,305985064,341762805,380153797,351322661,325075383,302122842,375938982,414691489,469090138,465664436,488624347,441000234,411281042,394357522,369134260,368615100,419246810,400406559,433805581,451018369,472238849,469629266,396065416,306216364,407641778,368740285,401168507,372066854,346868906,359740091,297583032,328492019,322859999,335367863,369542253,291113615,Commons
,,,,,,,,Chinese,53599233,54652909,56351275,67069382,63031093,59757307,55920492,58949967,60625596,60425864,66910263,68284748,70063047,74882729,71061187,80834159,76538062,72849396,76239687,75997773,77145897,86612525,54595418,58717530,50468156,47294217,47936443,47285742,50952527,48349865,47872863,79176594,133898744,160277829,156449158,165180410,169434365,183400577,186382304,194007283,195900221,208284435,203272770,225041781,237715718,247722049,236152438,244391957,252269485,252749003,245857072,253707013,270037028,267005626,296377250,288898530,306815950,296282705,334197054,342042592,319903150,305002523,299005119,320540561,301771486,313317138,336722713,362875572,415443496,392955056,396993827,482437330,498494111,578189400,622040703,497274712,432187182,491203649,464368453,427936469,462660810,471490278,356216824,261781005,Chinese
,,,,,,,,Polish,234225988,211318513,287289924,310036912,337306352,322567403,378558789,347846184,377900102,308548956,332734072,278123553,236721174,240422472,300273886,308831445,316542276,280035263,330343587,333559188,290930249,375442104,354824282,312744273,274407407,260338926,329545331,335394956,366190094,342238429,397033213,377141076,366091762,363428006,398868004,375065775,297512363,312992687,360020924,423315771,437410034,443150382,475537627,430942318,408886178,381616957,372162396,380014775,343992719,327873519,380895795,421523055,437099146,450908784,509775989,526823844,524250035,508886979,486887037,499927748,476316852,430704955,403600979,421172840,427868058,388087938,428680998,397690691,462295473,422786459,365287936,384700279,305738553,292660535,341525913,306927030,321631332,319967038,339812002,316815619,311951881,303779621,293507811,253272216,Polish
,,,,,,,,Portuguese,191948515,212572828,234763094,231193250,232643623,160738596,174107513,196230523,251252007,226136663,249247379,251823530,204964404,238925366,284662734,264892776,270789097,193279861,204134794,226332964,259419247,323138528,348232821,351882044,282146889,322231720,344993560,324298485,363296559,284056855,291128670,313826764,351956022,343487436,361754955,348293949,301790837,366498256,380812445,381127669,381162470,316562290,315138896,330280617,363747946,363226287,385210629,403894301,374926645,421038616,425402217,427493316,443688116,403341281,414733377,446498444,509997134,492510770,487532489,509176753,419256830,392284906,373179708,414805833,418435743,304715317,379744418,416263756,461671551,368132931,363838323,345774984,334278956,358496858,388217752,336417716,312565180,237408350,225321704,243889338,281618249,289290598,290156444,238684464,Portuguese
,,,,,,,,Dutch,109482172,112861810,137655804,148868323,149779808,132708796,154382684,147131644,157678285,133250642,142677626,141884963,115720215,117674624,139838402,149322508,148536508,127605068,147926332,144753200,134407073,149989491,161677524,158746652,129768007,135852064,152225436,162442972,160381867,150938662,177964514,167917021,165296136,154047298,171857682,166725575,147780819,158831174,172910517,185833508,182062883,170068160,190336815,186702892,178239169,169103804,173352887,182972601,168046908,172401578,179536226,190835469,196426333,193860089,221583208,205470047,206931332,179346663,182793485,191954062,156895962,155761803,172605264,171620630,168186304,158589077,188107124,183013062,185486050,176242565,167691674,177092214,159350643,172163260,186385889,156476865,145215541,135891317,145570403,132561448,145893085,143934897,147609824,126040427,Dutch
,,,,,,,,Turkish,49187274,48663318,60674010,71758568,73921469,75455574,73635066,78329058,83164574,76806392,71775003,60581767,56749142,56886594,58705956,73961629,66784898,75806789,68505345,67519386,64801318,78186853,76152372,66222642,58895946,58949367,63511487,76022814,74968624,89975476,90767364,93375471,92100695,99048509,90759938,78574012,76040727,85978808,87034435,104084787,101456388,110225993,109752319,109253434,108752965,108017459,110772201,98354764,101903415,109263558,108502344,116346521,127151528,137014838,147332313,147469610,152235087,145790678,143756411,135950502,134651090,104643989,101450075,125596362,141805263,142657035,127158740,117698230,127354752,126065871,126778460,113119182,108124627,100342974,108284143,98641847,101874605,107235169,100162041,100431549,111607957,123048663,112408937,99677221,Turkish
,,,,,,,, Wd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,5123010,13767775,15088618,21695676,26087773,38013978,46134866,26933511,31356548,21168584,29628579,30021723,32814800,43196959,46900992,34785203,38741028,58950439,56634126,76912310,42728331,49847960,73745020,88655819,58584879,57396997,73918612,80922136,79411372, Wd
,,,,,,,,English Wk,41643099,39325415,47385259,41178797,35015855,38337590,37551229,38427292,40633351,36862178,38472628,39715126,42456596,46916363,49424479,52257666,50897260,49096160,58026043,50904638,46998278,48620128,51460830,56317081,56174176,50420059,54795620,55295670,57161716,56245192,67991615,76724546,71158072,71701998,74336171,84060200,80580560,83164130,82398800,96991469,87101810,73527531,89885317,84326502,73058154,78841293,81727482,84336131,78396141,79961722,87366890,94555545,95938827,81260698,96052732,104229608,104586950,97445417,100572779,102182894,95785196,72494014,64765938,62484209,55495579,58887552,60860209,71691196,77152190,72079055,67325852,73122758,93668224,91485278,102183359,82550301,80025961,93231076,80352701,84559272,75338230,75221136,76934996,71882361,English Wk
,,,,,,,,Swedish,48499395,55109178,70463628,73900807,75656464,69420845,78175318,79876681,82314658,69032419,72702863,59548555,57888995,65901106,77203081,76680349,74533396,63647306,75306569,80708125,69303570,77890331,85677559,70211770,65838018,71954861,84059050,85677372,84209190,80999647,92143720,89239670,89457045,79427603,86393364,71061900,74761514,82764522,92188961,99818837,93767261,96499129,100621954,99476523,91005873,81850351,91366885,81117151,79396500,87615921,99824156,106410116,107261651,107507336,121488185,114541261,110637741,102926577,100593345,88337110,85727327,93381511,103970862,107145457,104302832,93285078,109779762,116181870,119215447,101811552,105567236,109667465,103719431,105735011,119471798,102600965,89819535,79582724,80533926,78202615,83830760,83001011,88354175,68173881,Swedish
,,,,,,,,Czech,26174877,28538609,36906087,39127276,45445656,37395074,49320003,46592439,48401067,40267461,46205191,44978219,36778845,34443095,46396182,52924744,52580697,43815923,54607500,51890087,48582798,57724699,64144880,51454877,41043265,41521779,49271368,54794417,59610155,55006569,70797060,62624342,64200543,62044035,68824605,60019028,51920472,52959465,60728707,72933428,74697748,71168948,86032527,76180748,74435137,72693545,79565195,73596948,57399260,59396506,69547749,79843803,81241345,81834133,95298748,87077084,86269481,83586666,84589139,76547424,59050817,59394912,65816247,72479513,72684434,68303365,84750783,80537714,79039638,77086814,76080512,76104966,64918321,65070309,71267795,69137355,68489135,60068830,74282717,65890050,69413965,69730785,73627708,64600925,Czech
,,,,,,,,Arabic,19228605,20081532,24629796,31512668,36162560,29484293,33786602,35317398,37454906,34788031,30843612,27076903,27161677,28920759,32411697,40232654,39257409,40148645,40244838,39413240,38353331,44761545,42968077,38477573,35785051,35322982,42859691,52993498,54804493,54852274,49361936,55621905,53302713,53954161,51323455,46109327,47605367,53614961,58495153,77318050,71260857,73001961,67577459,72914815,74753408,70803316,72699713,71244458,70890560,87029494,82664122,98635835,110585425,111530673,112240355,117576780,112359645,102688301,99553941,95620977,106557647,99342858,103137054,106618571,114164132,98966235,96406372,112975278,108815240,111342824,97346855,91649548,93073851,103412952,102973972,96410007,97432659,93873484,85690282,94151171,90307752,94160350,83843273,61590655,Arabic
,,,,,,,,Korean,17482910,16690947,18425486,19453712,18817507,18080130,24014745,29280901,22401152,24032232,23589786,23733535,24500386,27471539,28920299,31295152,31809959,27769992,27754121,26190119,28413635,34062424,34542655,32500183,46508324,39944838,34368419,34886644,36048773,37516062,39472011,41082729,45780509,45431073,42003279,36460284,35274379,41945054,48867257,53249678,53669568,56262291,56723861,57611443,57564348,54685621,58100733,55294059,53674665,52870239,54089146,55369759,63853057,71567222,72877379,71584145,69938234,75263391,57447625,52058163,50412451,51680900,66652731,70386408,83244004,74916332,68692134,61104834,78203351,87262756,83600902,80050724,75367438,77875182,74368487,60938870,69290227,56411206,57683151,51646131,59193979,61374829,58712422,57959504,Korean
,,,,,,,,Persian,7209220,7244501,8179110,10101086,11218107,11016136,11147483,11127598,9642885,11901620,11808330,11901387,11629432,11545324,11762293,14342010,14885141,16304467,16871075,15968156,12295390,16944327,17458337,14686559,14293265,15982053,15587105,18063590,19000366,20857497,20907585,21864454,19534835,23738023,23867957,22804525,23533853,27949506,28215449,39869861,46562061,43098069,43530745,42170045,39290414,42227271,43423580,40472914,43072717,44074713,50255091,49204942,52038350,56346104,58126084,55287668,47507859,49683915,47912197,44041732,50471137,51239572,56036771,67561090,78426887,73916310,66708333,71033038,65874722,70911154,56971637,57680339,65340531,86217265,71625561,70891524,66813193,64161834,60853304,58838598,54888318,72949808,72697327,52800765,Persian
,,,,,,,,Ukrainian,7741730,7479998,10056914,11122875,11532689,13055009,11722207,11825954,13078449,11958979,13016934,11374549,12466958,12214006,16306100,19354444,17725982,20222943,20652170,22563696,18329716,21264365,21256295,19547597,13986532,14646873,24059154,25413606,29895795,29086348,28187269,33131608,31543392,31203487,30457053,26858646,21808750,23768800,34395308,41548092,42933349,45124738,37333107,43305359,41365452,42576424,41099842,30729740,32312303,29293606,46249410,56812917,61487652,66153043,59951532,62596978,73353434,77846004,69672111,76337356,62734699,54798431,59479456,63446345,58927497,64151175,57561803,65483172,63550571,64128767,64850986,54386179,53782431,53304920,69775222,68792246,66098463,65384914,59789290,65111711,64453819,55272702,56754477,44383115,Ukrainian
,,,,,,,,Indonesian,18438876,22539597,22489672,24806525,27105617,21035466,25683151,27594564,27073960,24217134,25131333,21800134,23020149,29689277,27150294,37948207,37525821,31559174,37974104,40455268,36827848,46562731,47025082,41618447,46095740,43677477,41807391,53428426,52880244,43259657,51667627,47462127,48440284,44190270,44948073,40925807,42777525,50437790,61500190,68556888,66807038,55497096,62432908,62418078,59695820,55318308,55720055,51423656,51052867,54816892,71089534,73753807,73123217,70270630,75704882,68615391,66092490,69371830,66179346,64730289,62131678,61988145,80826377,83233361,79670184,68005358,80361022,84807319,85943127,81072783,74925295,76600803,73754301,97847282,105336791,78322087,69808995,51672340,61532311,58861614,61798133,61120749,57628758,43029038,Indonesian
,,,,,,,,Hungarian,20292202,19741722,24972629,27664720,28453647,26446667,33762583,29762149,31606103,29329841,31917828,28966266,25959652,27609728,32933066,37134586,37319923,33087494,38011279,38493008,33160150,38317264,41302909,39554912,36541129,35963588,42689460,43092733,44374746,41719183,48955779,43199870,44093359,41003014,42390538,39880279,38373269,41488831,43637592,48008959,44477691,42734716,48134531,45578941,43815267,41887652,45048449,43951503,39412272,45314432,44625472,47481164,50457314,50223077,60284828,59099512,60672638,54071323,54123062,51321916,48482353,45755689,45514163,48956751,49704119,48471453,55758615,54994330,55398848,55592362,50434066,51765682,49627243,55754192,55831248,48911325,48705977,45589486,50971043,48771737,47771779,47449914,49787830,40854090,Hungarian
,,,,,,,,Vietnamese,14170742,16558651,16491426,18627902,17922016,17498801,14869575,19192891,20971117,19527486,20499255,22091383,20985084,21274759,23991041,28193924,28501164,29403514,29710169,25151012,27496862,32860522,29058788,25562408,24923113,26148935,27464611,29599113,30352231,28588143,27764064,29710407,33181569,32878915,30750064,29470847,29693850,36613666,39021344,46401408,39984503,37907432,30617872,43142075,41400922,39116908,38032309,38579964,37772812,38822783,44442779,51071807,50736676,53985889,53605718,49876720,60525316,55365223,56643279,58676956,54296850,48229315,47518029,65031180,55244475,48077260,41800550,48456449,53663210,55303745,50919530,51689959,54733710,54955999,54881721,55459500,43991689,43742086,39128699,35359738,44871596,46474872,45219786,40074243,Vietnamese
,,,,,,,,Finnish,47233877,51430818,56292068,59435391,58444812,55320279,64223457,61331024,62117650,55148718,55800332,47707338,48061441,52492234,55879477,56036968,57310141,51155128,57126145,57340528,52079197,61645394,62030353,56055984,55730043,58782867,64087918,62613714,64999890,61533086,68658590,63715211,66628192,62117073,63454745,56058100,57181372,65607610,65925018,67161646,62150808,60599330,64693641,62261554,61477622,59487024,59188403,55959814,55999899,60148673,63643172,62807360,66292668,66501876,68476482,66843860,63826194,61066600,59538523,58993084,58849441,54045502,59010241,55515063,53384806,51926653,60944688,61742416,64240475,57339452,54665505,55591292,53454678,54867460,59199577,51723688,49664188,45913348,47784691,45284487,46936026,47358293,47642760,37678743,Finnish

=== Page view totals mobile ===

,,,,,,,,,,,,,,,,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,,,,,,,,,,,,,,,,English Mobile,,,,,,,,,,,,,,,,,,,,,,,,147977836,278327012,292649435,308748612,314486485,349765196,395806618,473666865,474485604,412602980,485265239,498279380,527599350,571859457,590078181,556519235,687274491,806976298,944881712,1019997286,992947277,1047002920,1118962375,1086800537,1151723222,1210942112,1238992790,1251680368,1275471167,1368813215,1420310049,1601166830,1616842936,1644370264,1531695031,1609373412,1851178430,1884451222,1805363702,1791215127,1721384463,1800205532,1987069845,2328502692,2345067685,2333569812,2319892438,2284075984,2568342231,3013790949,3009862160,3010278518,3074616229,3155612346,3648619604,3388636039,3349319208,3276305214,3284883143,3289227593,3100269796,English Mobile
,,,,,,,,,,,,,,,,,,,,,,,Japanese Mobile,,,,,,,,,,,,,,,,,,,,,,,,17809786,28394287,33072856,33404730,31851931,39647998,46486873,66024071,71955380,71516492,85519986,95856745,96806760,108449709,112019176,114917611,143102045,172878247,189591286,225008795,224398907,245139577,259903963,281568702,312952132,333233884,367042392,377530304,372739871,385430496,384985842,449673502,452683591,444802271,459368096,500170494,490031387,490460421,492670885,500473478,511682395,500210312,531420662,665628471,553139439,550627802,583049356,625295909,622770143,635030080,690210104,637399935,626806359,624465851,608661695,699132885,677913620,645343547,644546983,676704336,639788764,Japanese Mobile
,,,,,,,,,,,,,,,,,,,,,,,Spanish Mobile,,,,,,,,,,,,,,,,,,,,,,,,4122690,8950452,10564184,11807268,11501680,12813399,13279423,18224248,20710352,20540505,24255944,27317424,27744011,29321690,40792718,42295306,51284025,60289133,61279596,73497001,79554420,90028886,99968261,97427724,99556698,99722450,118013035,130271971,135254174,141869546,138459963,166719431,182720976,188811532,195821190,214310802,219028096,215627800,228140277,241757237,241777293,238122505,231625253,312770414,347703659,357297227,354560683,370444806,390231105,391068182,433259868,465179043,467328318,463294476,393466447,472483600,534824732,540796314,547163207,555922699,516163154,Spanish Mobile
,,,,,,,,,,,,,,,,,,,,,,,German Mobile,,,,,,,,,,,,,,,,,,,,,,,,9369170,13668968,15319698,17164171,17408353,20769311,23444459,31057975,29621900,28302165,30645173,32195180,35067206,34129202,36010958,35136885,48769995,62186820,74903496,85592570,81796107,92092638,105570639,96406761,102527314,94695954,97455153,112630241,118209681,136489626,133348162,162281981,168403016,167602926,178362338,193058287,189657518,185568559,181901525,189272960,190323724,191623538,256194213,265888264,257084793,250987297,260259377,262683578,297060196,310732030,317760872,320190277,340964487,357185639,393971067,418715441,398738796,385759528,393453426,400147285,383203258,German Mobile
,,,,,,,,,,,,,,,,,,,,,,,Russian Mobile,,,,,,,,,,,,,,,,,,,,,,,,7097283,8148804,8615441,10535929,12408818,14981251,17847127,19734794,19955837,19228891,21478879,21891242,22097952,19454859,23320682,26131473,37921767,44936278,52460396,52199562,54868457,64442825,75724578,65515456,60612246,56446986,55580265,68362158,77863314,89301166,149142429,146901574,149388008,150255988,151000060,157701112,147438309,137769576,133856589,152455067,162170613,165975836,186647065,225599234,230331087,223948144,220619267,221627567,222428997,223127217,224790854,262747011,290251093,306012794,301206521,352598696,352635671,338160980,350638735,332746532,289444948,Russian Mobile
,,,,,,,,,,,,,,,,,,,,,,,French Mobile,,,,,,,,,,,,,,,,,,,,,,,,8195299,12875048,15812894,16291336,16066117,19150519,21042051,26031268,26531476,24355948,26588526,27715065,28634979,28213198,32550585,27847084,36238792,45299992,53304120,58556530,59454754,70076099,89275527,78633925,75439465,73144742,82419690,88354930,90711002,101341600,102447934,116239394,122507852,128383601,126730508,144462423,142185555,133850009,136251004,135171970,135955599,141028591,159185762,196374245,191287732,190967549,192188822,202008817,209660357,236401039,245056017,252286116,254863742,282617033,275055057,307523702,295722560,293358704,295754595,311883879,279217248,French Mobile
,,,,,,,,,,,,,,,,,,,,,,,Italian Mobile,,,,,,,,,,,,,,,,,,,,,,,,3601673,4880655,6215748,6215555,5892838,7228372,8102866,11105273,12048628,10731203,11291385,12324058,13099252,13441276,17595039,16013630,19378412,25354308,33028388,36746917,37217358,43142093,51571512,49022472,50173233,51431312,58584594,66536030,63866634,70127552,73069664,90786601,95693507,95703693,102476608,113506491,116584815,116922305,120752581,124448505,124148644,127524435,143508148,194287480,193493605,183091670,185750304,188458845,202195517,219418369,227196504,239275102,233661030,242730534,240775263,292791586,292985345,278013886,274400593,277348475,270334231,Italian Mobile
,,,,,,,,,,,,,,,,,,,,,,,Portuguese Mobile,,,,,,,,,,,,,,,,,,,,,,,,887967,1205691,1409290,1801693,1913891,2423398,2442815,2994069,3386252,3301939,3924143,4535597,4951522,5037866,8340164,9699445,11718208,13746171,13276874,13811145,14703260,20866424,27434544,22654479,24910342,23081866,26792806,31741505,30822526,34834583,34408141,35978890,40784285,46208655,51432331,55442538,62308750,58143358,62546014,64860492,61341956,64782373,65056066,76206147,86488007,96194423,98851789,100611169,103753365,113893196,119778691,127262946,124855459,133692711,119168152,129163607,135815311,149294366,152376065,152790093,148036816,Portuguese Mobile
,,,,,,,,,,,,,,,,,,,,,,,Polish Mobile,,,,,,,,,,,,,,,,,,,,,,,,804079,1164542,1240679,1478658,1646108,2044809,2164922,2761159,2904666,2944417,3028605,3235344,3155652,3126447,3737773,4053589,5626443,7598613,9313021,9923170,9613112,14475174,15045533,12745874,13848480,12174046,13062446,17683465,17883842,20020397,21581302,24209135,27494038,27406840,27850910,30025016,31433753,28570817,28402664,30443603,32252907,34569876,36758231,45499680,46058569,45508997,44417319,45998917,49388396,48470721,52491607,61171693,62848761,70082891,67845986,77893742,77398281,79200824,79451284,79389933,73734277,Polish Mobile
,,,,,,,,,,,,,,,,,,,,,,,Indonesian Mobile,,,,,,,,,,,,,,,,,,,,,,,,933425,2898427,3157739,3420974,3889925,4642249,4582411,4946976,4927842,4826589,4777936,5061200,5395712,5391918,6491523,7124410,8986948,10497671,11277900,11494855,11436003,13729504,14797026,13286124,13619165,13863980,15743735,18317122,19170952,21746998,24575895,24480771,25190919,26900309,27369919,29266431,32910124,31437157,32771836,39879466,42002397,41803998,43924570,51963196,55878722,57713329,53720480,54821211,58811813,56872512,69678877,80026538,81039748,81129904,74462354,79321479,80754870,87918758,84641129,85169206,72445894,Indonesian Mobile
,,,,,,,,,,,,,,,,,,,,,,,Arabic Mobile,,,,,,,,,,,,,,,,,,,,,,,,158489,476279,651272,741504,714317,888732,1067074,1060815,1416230,1371525,1688215,1750248,1969487,2107763,3590852,3516303,4940542,5884473,6858022,6693726,7269274,9307602,10194131,9507277,11424351,11641581,14383017,13464804,13720795,17058880,18077432,19461039,23016920,25411715,24532832,27707208,32708787,37965458,35323316,35622409,32801133,34810293,37855955,42501618,45450182,47462097,47543762,47023678,50999975,64798539,62743972,60572472,63282667,68203596,70117364,76273936,72864809,73305752,77810669,74258377,68732285,Arabic Mobile
,,,,,,,,,,,,,,,,,,,,,,,Turkish Mobile,,,,,,,,,,,,,,,,,,,,,,,,302027,407817,470190,511748,544970,777059,880929,1363892,736915,169070,1048606,1250837,1317384,1413461,2444946,2194249,2933765,4222655,4949512,5231010,5617156,7970604,9039817,8141359,8129121,8408395,9222924,9576556,10572927,12872798,13765528,16782568,18542404,19012648,19029103,21375340,22745328,24781871,23606445,24154558,26371522,28852643,33926851,39176197,40243420,44022846,41881828,45112471,46324310,48808279,46754234,48135086,53258065,60654642,65512097,67170243,66756972,73243530,73863072,74711622,67732932,Turkish Mobile
,,,,,,,,,,,,,,,,,,,,,,,Dutch Mobile,,,,,,,,,,,,,,,,,,,,,,,,2162135,2432925,2888596,3096313,3326859,3704952,4487399,5259914,5775433,5017814,5444084,6017644,6488879,6490933,7115632,6298472,8097568,9982246,12338744,13737791,12339918,16936219,22557327,18155505,19798638,18709691,19368928,21913936,22123395,23055319,24721816,27016168,31913685,29210495,30308862,34577212,35664471,34475855,35250426,33981292,33581495,34126273,38873118,41932645,41145120,38724783,39415411,41419258,49941993,57118926,64927441,62204592,59135367,63166375,66397985,69221190,64696882,66097920,66506667,71014661,64417636,Dutch Mobile
,,,,,,,,,,,,,,,,,,,,,,,Chinese Mobile,,,,,,,,,,,,,,,,,,,,,,,,1218327,1085997,1158908,1205950,1754842,2614463,3168535,3377325,3579692,3762380,3752439,3874448,4185473,4041403,5277212,5013199,6434834,7863283,9408373,10240920,13279923,19715481,26940045,21295869,18653204,16295501,16802529,18083178,17445171,19731651,19551225,22887803,27641376,32333290,42723618,50072254,54277568,60190965,82227673,94971683,86651847,82482539,75512376,82834207,89108548,102877736,99259066,105074872,102441175,128454239,151056724,147823056,132231906,113795120,110789244,114832487,112795140,120990975,124705669,94952210,52157134,Chinese Mobile
,,,,,,,,,,,,,,,,,,,,,,,Korean Mobile,,,,,,,,,,,,,,,,,,,,,,,,800429,1269458,1481104,2028462,2045356,2634610,2273500,2607178,3280414,3223247,4109767,4914392,5511102,6078646,6087580,5225303,6794083,7888271,9392535,10285313,9791302,11678290,13701815,11577307,11961386,11551882,12160599,12413686,12643545,12510077,13968378,14946755,17352751,17467125,22223316,22640028,23959970,22784661,21223469,19518584,20003947,19182091,21094391,23485952,25187598,25217167,28764755,26762246,33840823,47419075,50677307,48285757,44372281,44728927,44593819,48379376,51584126,46844273,61977127,51894327,48828232,Korean Mobile
