Date, English Mobile,Japanese Mobile,German Mobile,Spanish Mobile,French Mobile,Russian Mobile,Italian Mobile
2010/06/01,147977836,17809786,9369170,4122690,8195299,7097283,3601673
2010/07/01,278327012,28394287,13668968,8950452,12875048,8148804,4880655
2010/08/01,292649435,33072856,15319698,10564184,15812894,8615441,6215748
2010/09/01,308748612,33404730,17164171,11807268,16291336,10535929,6215555
2010/10/01,314486485,31851931,17408353,11501680,16066117,12408818,5892838
2010/11/01,349765196,39647998,20769311,12813399,19150519,14981251,7228372
2010/12/01,395806618,46486873,23444459,13279423,21042051,17847127,8102866
2011/01/01,473666865,66024071,31057975,18224248,26031268,19734794,11105273
2011/02/01,474485604,71955380,29621900,20710352,26531476,19955837,12048628
2011/03/01,412602980,71516492,28302165,20540505,24355948,19228891,10731203
2011/04/01,485265239,85519986,30645173,24255944,26588526,21478879,11291385
2011/05/01,498279380,95856745,32195180,27317424,27715065,21891242,12324058
2011/06/01,527599350,96806760,35067206,27744011,28634979,22097952,13099252
2011/07/01,571859457,108449709,34129202,29321690,28213198,19454859,13441276
2011/08/01,590078181,112019176,36010958,40792718,32550585,23320682,17595039
2011/09/01,556519235,114917611,35136885,42295306,27847084,26131473,16013630
2011/10/01,687274491,143102045,48769995,51284025,36238792,37921767,19378412
2011/11/01,806976298,172878247,62186820,60289133,45299992,44936278,25354308
2011/12/01,944881712,189591286,74903496,61279596,53304120,52460396,33028388
2012/01/01,1019997286,225008795,85592570,73497001,58556530,52199562,36746917
2012/02/01,992947277,224398907,81796107,79554420,59454754,54868457,37217358
