Date, Total,jpg,png,svg,ogg,gif,tif,pdf,djvu,ogv,mid
2009-01,3741975,2928576,413493,215004,94889,80229,0,5623,2783,137,1074
2009-02,3868421,3036254,422606,221268,95892,82119,0,5831,3008,179,1084
2009-03,4082030,3219436,430748,240935,96448,83602,122,5973,3207,265,1097
2009-04,4263100,3383507,438258,246457,98111,85151,232,6219,3557,285,1106
2009-05,4402505,3505520,446913,251930,99498,86504,320,6326,3805,343,1113
2009-06,4556445,3620098,478051,257071,100622,87619,375,6477,4307,431,1134
2009-07,4716389,3751440,497016,263757,101743,88913,473,6597,4546,490,1138
2009-08,4879180,3886290,512019,271120,104767,90406,611,7218,4780,535,1143
2009-09,5007877,3998667,519439,277390,105352,91759,712,7484,5012,593,1148
2009-10,5275619,4248732,528996,282551,106136,93059,836,7839,5263,692,1178
2009-11,5448548,4403244,538046,289231,106777,94279,922,8127,5498,878,1191
2009-12,5587955,4520176,550099,295226,107887,95573,1033,8500,6885,998,1197
2010-01,5942273,4849666,562448,302521,110341,97309,1165,8753,7259,1110,1216
2010-02,6093067,4974716,579123,308213,111233,98709,1484,9062,7611,1179,1231
2010-03,6262177,5101169,610781,315590,112490,99995,1753,9300,8018,1311,1234
2010-04,6463066,5272487,630830,322344,113224,100916,1857,9728,8356,1523,1240
2010-05,6657153,5440427,645656,329848,114234,101894,1944,9913,9655,1747,1251
2010-06,6819279,5579245,657802,337631,115676,102935,2078,10093,10043,1915,1256
2010-07,7012016,5739228,668193,344267,117247,103980,12727,10356,11808,2327,1263
2010-08,7206848,5905242,679495,354123,121105,105117,14198,10522,12610,2510,1278
2010-09,7403257,6076091,692215,362353,123034,106652,14469,10679,13020,2747,1308
2010-10,7592745,6238218,703665,373567,125125,108090,14595,11008,13496,2921,1326
2010-11,7750443,6366430,722067,380637,126015,109381,14816,11324,13878,3756,1343
2010-12,7977328,6571388,733494,387789,127100,110367,14970,11713,14386,3928,1365
2011-01,8203263,6772932,746235,395992,127934,111643,15148,11997,14894,4232,1378
2011-02,9365117,7884361,757309,431580,129080,112971,15374,12426,15281,4394,1428
2011-03,9882313,8372825,766649,447159,130060,114121,15601,12876,15991,4601,1457
2011-04,10073431,8539651,779416,454355,131361,115368,15776,13355,16566,5053,1510
2011-05,10253943,8697748,788969,463341,132279,116292,15986,14117,17216,5387,1532
2011-06,10450791,8872115,801344,469380,133019,117224,16389,15151,17846,5657,1550
2011-07,10645981,9041369,813823,475852,134809,118437,18981,15857,18267,5871,1564
2011-08,10867629,9221442,827679,483660,136319,119673,34581,16570,18730,6210,1582
2011-09,11274690,9564575,839088,491710,137842,120795,74390,17768,19084,6564,1612
2011-10,11535496,9789795,853535,502549,139003,121968,80699,18634,19576,6791,1624
2011-11,11758371,9983372,863751,510969,145163,123230,81785,19788,19953,7163,1797
2011-12,11967737,10168200,877367,517540,146389,124606,82075,20458,20302,7515,1839
2012-01,12200544,10367302,893745,525827,150317,127172,82611,21189,20843,7915,2114
