Date, Total,English,German,French,Dutch,Italian,Polish,Spanish
2009/01/01,12174003,2671794,898396,754264,515790,537998,567622,433980
2009/02/01,12397092,2714015,911438,766696,521839,547459,576872,442496
2009/03/01,12631101,2766241,924663,779309,526846,556990,585530,451584
2009/04/01,12859123,2808244,936353,791007,532370,565765,593653,461824
2009/05/01,13082107,2846350,950067,805569,539238,575598,602034,471575
2009/06/01,13285934,2881769,961605,816584,544241,585481,610108,481949
2009/07/01,13511542,2927534,973768,827840,549605,596188,618043,491899
2009/08/01,13750872,2973292,985801,839396,555298,604754,625617,501855
2009/09/01,13969018,3005191,997771,849987,560683,614000,633583,510485
2009/10/01,14201901,3039733,1010504,862663,566819,624449,641662,519153
2009/11/01,14414400,3071670,1022069,875719,572722,635627,650121,529984
2009/12/01,14642141,3106743,1037697,888799,578305,648691,659395,540719
2010/01/01,14873240,3144027,1052838,902265,584069,658650,667792,552012
2010/02/01,15078311,3175487,1065527,914190,589019,667140,675747,563086
2010/03/01,15310617,3208133,1079705,926825,594348,678061,683664,575571
2010/04/01,15564644,3247763,1093215,938135,599319,688089,693702,587135
2010/05/01,15852363,3281869,1106533,949612,604075,698486,701423,597589
2010/06/01,16081265,3312923,1118121,960326,607684,707631,708730,610035
2010/07/01,16314746,3344792,1131152,972151,613749,716792,716070,622654
2010/08/01,16604839,3381451,1144832,984537,635800,726810,723175,635660
2010/09/01,16829651,3414788,1157502,1003397,642130,737298,729692,649034
2010/10/01,17067603,3445908,1170300,1020728,648404,747854,741287,661390
2010/11/01,17312929,3480499,1182444,1034457,655659,756786,751779,673251
2010/12/01,17576908,3511378,1195912,1046570,662899,766517,761669,689094
2011/01/01,17856357,3543566,1209748,1059278,668864,776207,770414,709731
2011/02/01,18085338,3571181,1221718,1070462,674148,785322,778823,725807
2011/03/01,18324226,3600492,1234213,1081866,679200,794363,790890,743005
2011/04/01,18599862,3628225,1249027,1094921,683884,803804,798065,752919
2011/05/01,18848228,3655185,1262017,1107192,689382,813730,806041,762757
2011/06/01,19130821,3681751,1275858,1118537,712223,822888,812780,782211
2011/07/01,19442701,3709876,1288662,1130995,741411,832491,820266,809394
2011/08/01,19673830,3741521,1301362,1142947,746762,844743,827528,823444
2011/09/01,19882442,3774368,1312975,1155119,754091,854363,835464,831570
2011/10/01,20224633,3806446,1323942,1166120,850089,863573,842372,840244
2011/11/01,20482053,3836598,1334506,1178000,871211,873585,849530,847760
2011/12/01,20896120,3863227,1347690,1191713,1009898,884489,863866,857015
2012/01/01,21158235,3892248,1361676,1207559,1018021,895356,877047,865843
