Month,Total,Target
2010/06/01,207.541927,
2010/07/01,371.237914,372
2010/08/01,400.198907,401
2010/09/01,424.568581,425
2010/10/01,431.946274,433
2010/11/01,491.301811,492
2010/12/01,555.316438,556
2011/01/01,680.095704,670
2011/02/01,691.989863,690
2011/03/01,622.231377,620
2011/04/01,726.090685,726
2011/05/01,760.513392,785
2011/06/01,798.945757,848.478495575645
2011/07/01,854.290939,917.090136884472
2011/08/01,912.602031,991.250012294266
2011/09/01,880.256597,1071.40677601373
2011/10/01,1103.656174,1158.04536237157
2011/11/01,1315.391306,1251.68991958393
2011/12/01,1522.864725,1352.90698075894
2012/01/01,1669.647789,1462.30889132247
2012/02/01,1651.793186,1580.55751360023
2012/03/01,,1708.36823096854
2012/04/01,,1846.51427579798
2012/05/01,,1995.83140737327
2012/06/01,,2157.22296809006
