Month,Total,English,French,German,Polish
2013/02/01,22366,830,395,394,228
2013/03/01,25613,844,385,343,198
2013/04/01,15468,882,427,341,163
2013/05/01,7290,837,350,331,181
2013/06/01,25094,890,325,365,211
2013/07/01,21387,852,312,347,282
2013/08/01,29896,859,361,345,307
2013/09/01,24791,793,306,326,233
2013/10/01,10863,918,309,327,177
2013/11/01,6261,919,312,324,197
2013/12/01,6988,826,360,322,209
2014/01/01,6635,927,371,353,246
2014/02/01,8587,974,353,342,248
2014/03/01,7338,814,300,313,194
2014/04/01,7943,794,364,320,182
2014/05/01,8346,789,353,301,153
2014/06/01,18410,791,313,288,139
2014/07/01,14813,920,324,304,159
2014/08/01,12718,820,330,295,160
2014/09/01,13518,789,292,295,179
2014/10/01,9851,880,275,298,199
2014/11/01,7503,888,307,297,181
2014/12/01,6514,768,331,328,176
2015/01/01,7018,901,335,377,226
2015/02/01,6351,874,326,352,220
2015/03/01,10144,840,328,319,224
2015/04/01,6726,802,326,321,206
2015/05/01,6360,762,343,296,177
2015/06/01,7811,810,347,306,171
2015/07/01,7084,884,331,293,177
2015/08/01,7563,848,328,286,150
2015/09/01,8034,731,336,309,146
2015/10/01,8185,788,697,332,165
2015/11/01,18909,786,422,318,152
2015/12/01,23107,770,330,317,152
2016/01/01,28108,873,331,357,167
2016/02/01,11607,863,359,355,164
