Date,Total,Target
2010/06/01,208280310;208280310;208280310,
2010/07/01,372132091;372132091;372132091,285711081.276;372000000;458288918.724
2010/08/01,400944073;400944073;400944073,314711081.276;401000000;487288918.724
2010/09/01,425385736;425385736;425385736,338711081.276;425000000;511288918.724
2010/10/01,432613085;432613085;432613085,346711081.276;433000000;519288918.724
2010/11/01,491794260;491794260;491794260,405711081.276;492000000;578288918.724
2010/12/01,555653967;555653967;555653967,469711081.276;556000000;642288918.724
2011/01/01,680527579;680527579;680527579,583711081.276;670000000;756288918.724
2011/02/01,692464914;692464914;692464914,603711081.276;690000000;776288918.724
2011/03/01,622902258;622902258;622902258,533711081.276;620000000;706288918.724
2011/04/01,728233197;728233197;728233197,639711081.276;726000000;812288918.724
2011/05/01,762990098;762990098;762990098,698711081.276;785000000;871288918.724
2011/06/01,801552556;801552556;801552556,762189576.852;848478495.575645;934767414.299
2011/07/01,857407355;857407355;857407355,830801218.161;917090136.884472;1003379055.61
2011/08/01,916946743;916946743;916946743,904961093.571;991250012.294266;1077538931.02
2011/09/01,887103215;887103215;887103215,985117857.29;1071406776.01373;1157695694.74
2011/10/01,1111140204;1111140204;1111140204,1071756443.65;1158045362.37157;1244334281.1
2011/11/01,1325724262;1325724262;1325724262,1165401000.86;1251689919.58393;1337978838.31
2011/12/01,1533885014;1533885014;1533885014,1266618062.04;1352906980.75894;1439195899.48
2012/01/01,1681435126;1681435126;1681435126,1376019972.6;1462308891.32247;1548597810.05
2012/02/01,1663482355;1663482355;1663482355,1494268594.88;1580557513.60023;1666846432.32
2012/03/01,1858551326;1858551326;1858551326,1622079312.24;1708368230.96854;1794657149.69
2012/04/01,2089385579;2089385579;2089385579,1760225357.07;1846514275.79798;1932803194.52
2012/05/01,1972654819;1972654819;1972654819,1909542488.65;1995831407.37327;2082120326.1
2012/06/01,2073353860;2073353860;2073353860,2070934049.37;2157222968.09006;2243511886.81
