Date,Total,Target,Projected
2009/03/01,94462,,
2009/04/01,89657,,
2009/05/01,92258,,
2009/06/01,90811,,
2009/07/01,90087,,
2009/08/01,90230,,
2009/09/01,87247,,
2009/10/01,89479,,
2009/11/01,89136,,
2009/12/01,87244,,
2010/01/01,93499,,
2010/02/01,88339,,
2010/03/01,92644,,
2010/04/01,89153,,
2010/05/01,91110,,
2010/06/01,85521,,
2010/07/01,83521,,
2010/08/01,84987,,
2010/09/01,81750,,
2010/10/01,83464,,
2010/11/01,82729,,
2010/12/01,81820,,
2011/01/01,91309,,88459
2011/02/01,86580,,83788
2011/03/01,89064,75755,86439
2011/04/01,84819,79509,84691
2011/05/01,85884,80853,84864
2011/06/01,84349,79620,82350
2011/07/01,84174,79773,81302
2011/08/01,85165,80139,80482
2011/09/01,82627,80171,79338
2011/10/01,83517,82364,80317
2011/11/01,82908,82365,79145
2011/12/01,82757,82161,77795
2012/01/01,88122,90352,81829
2012/02/01,84923,91016,81227
2012/03/01,85092,94536,83135
2012/04/01,,94867,82208
2012/05/01,,96471,82376
2012/06/01,,95000,79935
